日付,曜日,1号館前,セントラルガーデン
2023/11/01,水,,
2023/11/02,木,熊猫厨房（中華ホットロール）,パインリーフ（クレープ）
2023/11/03,金,,
2023/11/04,土,,
2023/11/05,日,,
2023/11/06,月,アルス（インドカレー）,バターの森２号車(クロワッサン）
2023/11/07,火,Take Eat EZY（丼）,金しゃち（唐揚げ）
2023/11/08,水,YAMA BAL（ホットサンド）,パインリーフ（クレープ）
2023/11/09,木,サニーズ（クレープ）,カッパドキア（ケバブ）
2023/11/10,金,金しゃち（唐揚げ）,MYきっちん（揚げパン）
2023/11/11,土,,
2023/11/12,日,,
2023/11/13,月,,
2023/11/14,火,UNO express（タコス）,金しゃち（唐揚げ）
2023/11/15,水,キッチンカーナ（たこ焼き）,いしいも(焼き芋）
2023/11/16,木,ブラザー69（バーガー）,miu crepe cafe（クレープ）
2023/11/17,金,金しゃち（唐揚げ）,MYきっちん（揚げパン）
2023/11/18,土,,
2023/11/19,日,,
2023/11/20,月,シーハウス（韓国料理）,クレープショップSARU(クレープ)
2023/11/21,火,サニーズ（クレープ）,金しゃち（唐揚げ）
2023/11/22,水,YAMA BAL（ホットサンド）,ハニーエイト（ハニーポテト）
2023/11/23,木,,
2023/11/24,金,金しゃち（唐揚げ）,miu crepe cafe（クレープ）
2023/11/25,土,,
2023/11/26,日,,
2023/11/27,月,MYきっちん（揚げパン）,ポポ（メロンパン）
2023/11/28,火,粉もの本舗 kurukurku（たこ焼き）,金しゃち（唐揚げ）
2023/11/29,水,che'rie（ホットドック）,パインリーフ（クレープ）
2023/11/30,木,Take Eat EZY（丼）,まんぷくデイズ（揚げパン）